,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team,Playing Time
,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
9,İlkay Gündoğan,de GER,MF,34-008,8.0,5,471.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.0,2.3,16.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.25,0.19,0.44,0.25,0.44,Matches,Manchester-City,
10,Jeremy Doku,be BEL,"FW,MF",22-158,7.0,5,401.0,4.5,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,1.2,1.6,58.0,19.0,80.0,0.22,0.22,0.45,0.22,0.45,0.09,0.27,0.36,0.09,0.36,Matches,Manchester-City,
11,Kevin De Bruyne,be BEL,MF,33-126,4.0,4,356.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,1.7,2.9,10.0,47.0,32.0,0.25,0.25,0.51,0.25,0.51,0.31,0.43,0.74,0.31,0.74,Matches,Manchester-City,
12,Jack Grealish,eng ENG,"FW,MF",29-052,7.0,4,346.0,3.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,1.0,1.6,46.0,17.0,67.0,0.0,0.26,0.26,0.0,0.26,0.14,0.27,0.41,0.14,0.41,Matches,Manchester-City,
13,Kyle Walker,eng ENG,DF,34-157,5.0,3,289.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,6.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.14,0.04,0.14,Matches,Manchester-City,
14,Phil Foden,eng ENG,"MF,FW",24-157,6.0,2,282.0,3.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.5,1.9,6.0,11.0,29.0,0.0,0.32,0.32,0.0,0.32,0.14,0.46,0.6,0.14,0.6,Matches,Manchester-City,
15,John Stones,eng ENG,"DF,MF",30-157,6.0,2,241.0,2.7,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.4,8.0,10.0,1.0,0.75,0.0,0.75,0.75,0.75,0.16,0.0,0.16,0.16,0.16,Matches,Manchester-City,
16,Matheus Nunes,pt POR,"MF,FW",26-066,6.0,1,113.0,1.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,1.1,7.0,11.0,31.0,0.0,1.59,1.59,0.0,1.59,0.08,0.77,0.85,0.08,0.85,Matches,Manchester-City,
17,Rodri,es ESP,MF,28-132,2.0,1,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,Manchester-City,
18,Nathan Aké,nl NED,DF,29-257,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester-City,
19,James Mcatee,eng ENG,FW,22-014,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester-City,
20,Scott Carson,eng ENG,GK,39-059,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City,
21,Issa Kaboré,bf BFA,"DF,MF",23-173,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City,
22,Stefan Ortega,de GER,GK,31-361,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City,
23,Nico O’Reilly,eng ENG,FW,19-225,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City,
24,Squad Total,,,27.4,9.0,99,810.0,9.0,20.0,14.0,34.0,19.0,1.0,1.0,19.0,0.0,18.3,17.5,15.6,33.2,356.0,541.0,536.0,2.22,1.56,3.78,2.11,3.67,2.04,1.73,3.77,1.95,3.68,,Manchester-City,
25,Opponent Total,,,26.9,9.0,99,810.0,9.0,8.0,6.0,14.0,7.0,1.0,1.0,26.0,1.0,8.7,8.0,7.1,15.1,114.0,184.0,184.0,0.89,0.67,1.56,0.78,1.44,0.97,0.79,1.76,0.88,1.68,,Manchester-City,
0,Virgil van Dijk,nl NED,DF,33-116,9.0,9,810.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.2,0.7,1.0,36.0,0.0,0.11,0.0,0.11,0.11,0.11,0.05,0.03,0.08,0.05,0.08,Matches,Liverpool,
1,Ryan Gravenberch,nl NED,MF,22-169,9.0,9,809.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.4,0.6,20.0,54.0,15.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.06,0.02,0.06,Matches,Liverpool,
2,Mohamed Salah,eg EGY,FW,32-139,9.0,9,784.0,8.7,6.0,5.0,11.0,4.0,2.0,2.0,0.0,0.0,5.2,3.6,2.9,6.5,32.0,33.0,103.0,0.69,0.57,1.26,0.46,1.03,0.6,0.33,0.93,0.42,0.75,Matches,Liverpool,
3,Trent Alexander-Arnold,eng ENG,DF,26-025,9.0,9,752.0,8.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,2.2,2.6,20.0,46.0,25.0,0.0,0.12,0.12,0.0,0.12,0.05,0.26,0.31,0.05,0.31,Matches,Liverpool,
4,Ibrahima Konaté,fr FRA,DF,25-160,9.0,8,749.0,8.3,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.4,0.4,0.2,0.6,3.0,26.0,1.0,0.12,0.12,0.24,0.12,0.24,0.05,0.02,0.07,0.05,0.07,Matches,Liverpool,
5,Andrew Robertson,sct SCO,DF,30-235,9.0,8,666.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,1.5,2.0,14.0,35.0,14.0,0.0,0.0,0.0,0.0,0.0,0.06,0.21,0.26,0.06,0.26,Matches,Liverpool,
6,Alexis Mac Allister,ar ARG,MF,25-313,9.0,8,626.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.0,1.3,9.0,43.0,16.0,0.0,0.0,0.0,0.0,0.0,0.04,0.15,0.18,0.04,0.18,Matches,Liverpool,
7,Dominik Szoboszlai,hu HUN,MF,24-007,9.0,7,655.0,7.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.5,1.5,1.1,2.5,22.0,28.0,29.0,0.0,0.14,0.14,0.0,0.14,0.2,0.15,0.35,0.2,0.35,Matches,Liverpool,
8,Luis Díaz,co COL,FW,27-293,9.0,7,533.0,5.9,5.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,2.8,2.8,1.3,4.1,25.0,17.0,54.0,0.84,0.34,1.18,0.84,1.18,0.47,0.22,0.69,0.47,0.69,Matches,Liverpool,
9,Diogo Jota,pt POR,FW,27-333,7.0,7,492.0,5.5,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,2.7,2.7,0.8,3.5,13.0,6.0,34.0,0.37,0.37,0.73,0.37,0.73,0.5,0.14,0.64,0.5,0.64,Matches,Liverpool,
10,Alisson,br BRA,GK,32-030,6.0,6,528.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool,
11,Curtis Jones,eng ENG,MF,23-276,6.0,3,321.0,3.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.1,1.1,0.1,1.2,2.0,16.0,9.0,0.28,0.0,0.28,0.28,0.28,0.31,0.03,0.34,0.31,0.34,Matches,Liverpool,
12,Caoimhín Kelleher,ie IRL,GK,25-344,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool,
13,Cody Gakpo,nl NED,FW,25-178,9.0,2,307.0,3.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.9,1.5,6.0,10.0,43.0,0.0,0.29,0.29,0.0,0.29,0.15,0.28,0.43,0.15,0.43,Matches,Liverpool,
14,Darwin Núñez,uy URU,FW,25-130,6.0,2,287.0,3.2,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,0.3,0.8,6.0,7.0,19.0,0.31,0.31,0.63,0.31,0.63,0.14,0.09,0.24,0.14,0.24,Matches,Liverpool,
15,Kostas Tsimikas,gr GRE,DF,28-173,5.0,1,142.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Liverpool,
16,Jarell Quansah,eng ENG,DF,21-277,1.0,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool,
17,Conor Bradley,nir NIR,DF,21-115,4.0,0,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,Matches,Liverpool,
18,Federico Chiesa,it ITA,FW,27-007,1.0,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.76,0.76,0.76,Matches,Liverpool,
19,Joe Gomez,eng ENG,DF,27-162,2.0,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool,
20,Vitezslav Jaros,cz CZE,GK,23-101,1.0,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool,
21,Harvey Elliott,eng ENG,FW,21-211,1.0,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool,
22,Wataru Endo,jp JPN,MF,31-266,3.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.44,0.0,0.44,Matches,Liverpool,
23,Harvey Davies,eng ENG,GK,21-059,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool,
24,Tyler Morton,eng ENG,MF,22-001,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool,
25,Squad Total,,,27.5,9.0,99,810.0,9.0,17.0,14.0,31.0,15.0,2.0,2.0,20.0,0.0,16.5,14.9,12.8,27.7,186.0,383.0,377.0,1.89,1.56,3.44,1.67,3.22,1.83,1.42,3.25,1.66,3.08,,Liverpool,
26,Opponent Total,,,26.1,9.0,99,810.0,9.0,5.0,4.0,9.0,5.0,0.0,0.0,29.0,0.0,7.0,7.0,5.9,12.9,135.0,284.0,278.0,0.56,0.44,1.0,0.56,1.0,0.78,0.65,1.43,0.78,1.43,,Liverpool,
0,Kai Havertz,de GER,FW,25-143,9.0,9,810.0,9.0,4.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,4.5,4.5,1.0,5.5,20.0,29.0,53.0,0.44,0.11,0.56,0.44,0.56,0.5,0.11,0.61,0.5,0.61,Matches,Arsenal,
1,David Raya,es ESP,GK,29-047,9.0,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal,
2,Thomas Partey,gh GHA,"MF,DF",31-141,9.0,9,797.0,8.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.2,0.5,4.0,47.0,6.0,0.11,0.0,0.11,0.11,0.11,0.04,0.02,0.06,0.04,0.06,Matches,Arsenal,
3,Gabriel Magalhães,br BRA,DF,26-318,9.0,9,773.0,8.6,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.4,1.4,0.3,1.7,2.0,23.0,4.0,0.23,0.0,0.23,0.23,0.23,0.17,0.03,0.2,0.17,0.2,Matches,Arsenal,
4,Declan Rice,eng ENG,MF,25-292,8.0,8,672.0,7.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.4,0.4,1.3,1.7,22.0,51.0,25.0,0.0,0.13,0.13,0.0,0.13,0.05,0.17,0.22,0.05,0.22,Matches,Arsenal,
5,William Saliba,fr FRA,DF,23-222,8.0,8,659.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal,
6,Bukayo Saka,eng ENG,"MF,FW",23-057,8.0,8,650.0,7.2,3.0,7.0,10.0,3.0,0.0,0.0,1.0,0.0,2.3,2.3,3.5,5.8,33.0,31.0,80.0,0.42,0.97,1.38,0.42,1.38,0.31,0.49,0.8,0.31,0.8,Matches,Arsenal,
7,Ben White,eng ENG,DF,27-024,7.0,6,585.0,6.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,2.0,23.0,10.0,0.0,0.15,0.15,0.0,0.15,0.02,0.03,0.04,0.02,0.04,Matches,Arsenal,
8,Gabriel Martinelli,br BRA,"MF,FW",23-136,9.0,6,552.0,6.1,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,1.5,1.5,1.7,3.3,34.0,12.0,70.0,0.33,0.33,0.65,0.33,0.65,0.25,0.29,0.53,0.25,0.53,Matches,Arsenal,
9,Jurriën Timber,nl NED,DF,23-137,7.0,6,523.0,5.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.5,0.8,9.0,22.0,19.0,0.0,0.17,0.17,0.0,0.17,0.05,0.08,0.13,0.05,0.13,Matches,Arsenal,
10,Leandro Trossard,be BEL,FW,29-333,9.0,6,490.0,5.4,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.5,1.5,0.7,2.2,13.0,22.0,26.0,0.37,0.0,0.37,0.37,0.37,0.27,0.13,0.4,0.27,0.4,Matches,Arsenal,
11,Riccardo Calafiori,it ITA,DF,22-166,6.0,4,386.0,4.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.1,0.6,3.0,18.0,9.0,0.23,0.0,0.23,0.23,0.23,0.12,0.02,0.14,0.12,0.14,Matches,Arsenal,
12,Martin Ødegaard,no NOR,MF,25-320,3.0,3,253.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.3,0.7,8.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.16,0.1,0.26,0.16,0.26,Matches,Arsenal,
13,Mikel Merino,es ESP,"MF,FW",28-132,3.0,2,200.0,2.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.5,1.0,2.0,10.0,12.0,0.45,0.0,0.45,0.45,0.45,0.25,0.21,0.46,0.25,0.46,Matches,Arsenal,
14,Jorginho,it ITA,MF,32-317,2.0,2,150.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.05,0.02,0.05,Matches,Arsenal,
15,Raheem Sterling,eng ENG,"MF,FW",29-329,4.0,2,123.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.4,9.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.24,0.03,0.28,0.24,0.28,Matches,Arsenal,
16,Gabriel Jesus,br BRA,"FW,MF",27-212,7.0,1,97.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.4,1.0,6.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.54,0.36,0.9,0.54,0.9,Matches,Arsenal,
17,Oleksandr Zinchenko,ua UKR,DF,27-322,2.0,1,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal,
18,Jakub Kiwior,pl POL,DF,24-260,4.0,0,99.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal,
19,Ethan Nwaneri,eng ENG,"MF,FW",17-225,4.0,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.07,0.35,0.42,0.07,0.42,Matches,Arsenal,
20,Myles Lewis-Skelly,eng ENG,DF,18-036,2.0,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal,
21,Takehiro Tomiyasu,jp JPN,DF,25-362,1.0,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,2.37,2.37,2.37,Matches,Arsenal,
22,Reiss Nelson,eng ENG,FW,24-327,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal,
23,Nathan Butler-Oyedeji,eng ENG,FW,21-302,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,
24,Ayden Heaven,eng ENG,MF,18-040,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,
25,Ismeal Kabia,eng ENG,MF,18-327,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,
26,Maldini Kacurri,al ALB,DF,19-028,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,
27,Neto,br BRA,GK,35-105,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,
28,Josh Nichols,eng ENG,DF,18-098,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,
29,Eddie Nketiah,eng ENG,FW,25-155,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,
30,Salah Oulad M'Hand,nl NED,MF,21-073,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,
31,Aaron Ramsdale,eng ENG,GK,26-171,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,
32,Tommy Setford,eng ENG,GK,18-233,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal,
33,Squad Total,,,26.4,9.0,99,810.0,9.0,16.0,13.0,29.0,16.0,0.0,0.0,24.0,3.0,14.4,14.4,10.6,25.1,177.0,358.0,352.0,1.78,1.44,3.22,1.78,3.22,1.6,1.18,2.78,1.6,2.78,,Arsenal,
34,Opponent Total,,,26.3,9.0,99,810.0,9.0,10.0,7.0,17.0,9.0,1.0,1.0,23.0,0.0,9.9,9.1,6.4,15.5,203.0,293.0,291.0,1.11,0.78,1.89,1.0,1.78,1.1,0.71,1.81,1.01,1.72,,Arsenal,
0,Emiliano Martínez,ar ARG,GK,32-060,,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aston-Villa,9.0
1,Pau Torres,es ESP,DF,27-290,,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,20.0,33.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Aston-Villa,9.0
2,Youri Tielemans,be BEL,MF,27-178,,9,803.0,8.9,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,2.2,2.8,14.0,69.0,10.0,0.0,0.34,0.34,0.0,0.34,0.06,0.25,0.31,0.06,0.31,Matches,Aston-Villa,9.0
3,Morgan Rogers,eng ENG,"MF,FW",22-098,,9,741.0,8.2,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,1.7,1.7,2.2,3.9,25.0,26.0,46.0,0.24,0.24,0.49,0.24,0.49,0.2,0.27,0.47,0.2,0.47,Matches,Aston-Villa,9.0
4,Ollie Watkins,eng ENG,FW,28-307,,9,685.0,7.6,5.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,4.3,4.3,1.0,5.3,10.0,4.0,43.0,0.66,0.26,0.92,0.66,0.92,0.57,0.13,0.7,0.57,0.7,Matches,Aston-Villa,9.0
5,Lucas Digne,fr FRA,DF,31-104,,9,678.0,7.5,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.4,1.7,4.0,13.0,42.0,0.0,0.27,0.27,0.0,0.27,0.03,0.19,0.22,0.03,0.22,Matches,Aston-Villa,9.0
6,Ezri Konsa,eng ENG,DF,27-009,,8,641.0,7.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,8.0,29.0,4.0,0.14,0.0,0.14,0.14,0.14,0.05,0.02,0.07,0.05,0.07,Matches,Aston-Villa,8.0
7,Amadou Onana,be BEL,MF,23-077,,8,540.0,6.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.3,1.3,0.1,1.4,7.0,18.0,4.0,0.33,0.0,0.33,0.33,0.33,0.22,0.02,0.24,0.22,0.24,Matches,Aston-Villa,8.0
8,Leon Bailey,jm JAM,"FW,MF",27-084,,6,428.0,4.8,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,1.0,1.4,20.0,16.0,37.0,0.0,0.42,0.42,0.0,0.42,0.08,0.21,0.29,0.08,0.29,Matches,Aston-Villa,8.0
